                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.47634,                  0.408,                0.87448,                0.87725,                0.96396,                0.93934,                0.79531,                0.72367,                0.63372,                0.91662,             0.00024099,             0.00024099,             0.00024099
                     96,                 0.4616,                0.39156,                 0.8446,                0.88751,                0.93843,                0.95102,                0.80087,                0.72182,                0.59484,                0.91376,              0.0002402,              0.0002402,              0.0002402
                     97,                0.51744,                0.52064,                0.89604,                0.88751,                0.93843,                0.95102,                0.80087,                0.72182,                0.59484,                0.91376,             0.00023934,             0.00023934,             0.00023934
                     98,                0.51051,                0.48037,                0.88564,                0.90171,                0.97751,                0.98231,                0.83097,                0.72602,                0.55934,                0.91911,             0.00023841,             0.00023841,             0.00023841
                     99,                0.49782,                0.45842,                 0.8964,                0.90171,                0.97751,                0.98231,                0.83097,                0.72602,                0.55934,                0.91911,             0.00023741,             0.00023741,             0.00023741
                    100,                0.51191,                0.46603,                0.87977,                0.92472,                0.97805,                  0.995,                0.84143,                0.72394,                0.53749,                0.92048,             0.00023634,             0.00023634,             0.00023634
                    101,                0.53318,                0.51233,                0.92743,                0.92472,                0.97805,                  0.995,                0.84143,                0.72394,                0.53749,                0.92048,              0.0002352,              0.0002352,              0.0002352
                    102,                0.46313,                0.42406,                 0.9274,                0.87994,                0.99545,                  0.995,                0.85038,                0.71671,                0.52307,                0.91959,             0.00023167,             0.00023167,             0.00023167
                    103,                0.55981,                  0.506,                0.89679,                0.87994,                0.99545,                  0.995,                0.85038,                0.71671,                0.52307,                0.91959,             0.00022814,             0.00022814,             0.00022814
                    104,                0.51342,                0.52422,                0.90172,                0.94929,                0.90549,                0.95126,                0.81459,                0.71736,                0.53925,                0.92262,             0.00022462,             0.00022462,             0.00022462
                    105,                0.54893,                0.55557,                0.98467,                0.94929,                0.90549,                0.95126,                0.81459,                0.71736,                0.53925,                0.92262,             0.00022109,             0.00022109,             0.00022109
                    106,                0.54535,                 0.4921,                 0.9227,                0.95054,                0.89366,                0.94397,                0.80928,                0.71155,                0.53849,                0.92351,             0.00021756,             0.00021756,             0.00021756
                    107,                0.48967,                0.44821,                0.86205,                0.95054,                0.89366,                0.94397,                0.80928,                0.71155,                0.53849,                0.92351,             0.00021403,             0.00021403,             0.00021403
                    108,                0.47146,                0.43449,                0.85207,                0.94865,                0.88722,                0.94827,                0.80243,                0.71927,                0.53966,                 0.9288,              0.0002105,              0.0002105,              0.0002105
